Ticker Symbol,Company Legal Name,Business Description
BCR,Bard (C.R.) Inc,"C. R. Bard, Inc. designs, manufactures, packages, distributes, and sells medical, surgical, diagnostic, and patient care devices worldwide."
B,Barnes Group Inc,"Barnes Group Inc. operates as an industrial and aerospace manufacturer and service provider, serving a range of end markets and customers. The company operates in two segments, Industrial and Aerospace."
BRN,Barnwell Industries Inc,"Barnwell Industries, Inc., through its subsidiaries, acquires, develops, produces, and sells oil and natural gas in Canada. The company operates through three segments: Oil and Natural Gas, Land Investment, and Contract Drilling."
BSET,Bassett Furniture Industries Inc.,"Bassett Furniture Industries, Incorporated manufactures, markets, and retails home furnishings in the United States. The company operates in three segments: Wholesale, Retail, and Logistical Services."
BAX,Baxter International Inc,"Baxter International Inc. provides a portfolio of renal and hospital products. The company operates through two segments, Hospital Products and Renal."
BDX,"Becton, Dickinson and Co","Becton, Dickinson and Company develops, manufactures, and sells medical supplies, devices, laboratory equipment, and diagnostic products worldwide. It operates in two segments, BD Medical and BD Life Sciences."
BMS,Bemis Co Inc,"Bemis Company, Inc. manufactures and sells packaging products. It operates through two segments, U.S. Packaging and Global Packaging. The company offers multilayer polymer, blown, and cast film structures; and injection molded plastic and foldi"
WRB,Berkley (W.R.) Corp,"W. R. Berkley Corporation, an insurance holding company, operates as commercial lines writer in the United States and internationally. It operates through two segments, Insurance and Reinsurance."
BDL,Flanigan's Enterprises Inc.,"Flanigan's Enterprises, Inc. operates a chain of full-service restaurants and package liquor stores in South Florida."
BIO,Bio-Rad Laboratories Inc.,"Bio-Rad Laboratories, Inc. manufactures and supplies products and systems to separate complex chemical and biological materials, as well as to identify, analyze, and purify components for life science research, healthcare, analytical chemistry,"
HRB,Block H&R Inc,"H&R Block, Inc., through its subsidiaries, provides assisted income tax return preparation, digital do-it-yourself (DIY) tax solutions, and other services and products related to income tax return preparation to the general public primarily in"
BA,Boeing Co,"The Boeing Company, together with its subsidiaries, designs, develops, manufactures, sells, services, and supports commercial jetliners, military aircraft, satellites, missile defense, human space flight, and launch systems and services worldwi"
BRID,Bridgford Foods Corp,"Bridgford Foods Corporation, together with its subsidiaries, manufactures, markets, and distributes frozen and snack food products in the United States. The company's food products primarily include biscuits, bread dough items, roll dough items"
BGG,Briggs & Stratton Corp.,"Briggs & Stratton Corporation designs, manufactures, markets, sells, and services gasoline engines for outdoor power equipment to the original equipment manufacturers in the United States. It operates in two segments, Engines and Products."
BMY,Bristol-Myers Squibb Co,"Bristol-Myers Squibb Company discovers, develops, licenses, manufactures, markets, and distributes biopharmaceutical products worldwide."
CAL,Caleres Inc,"Caleres, Inc., a footwear company, retails and wholesales footwear. The company operates through Famous Footwear and Brand Portfolio segments. It offers licensed, branded, and private-label casual, dress, and athletic footwear products to women"
BC,Brunswick Corp,"Brunswick Corporation designs, manufactures, and markets recreation products worldwide."
MTZ,MasTec Inc.,"MasTec, Inc., an infrastructure construction company, provides engineering, building, installation, maintenance, and upgrade services for communications, energy, and utility infrastructure primarily in the United States and Canada."
CBT,Cabot Corp,Cabot Corporation operates as a specialty chemicals and performance materials company.
CACI,CACI International Inc.,"CACI International Inc, together with its subsidiaries, provides information solutions and services in North America and internationally."
LUB,Luby's Inc.,"Luby's, Inc. operates as a multi-brand restaurant company in the United States. The company operates through three segments: Company-Owned Restaurants, Franchise Operations, and Culinary Contract Services."
CALM,Cal Maine Foods Inc,"Cal-Maine Foods, Inc. produces, grades, packages, markets, and distributes shell eggs."
CPB,Campbell Soup Co,"Campbell Soup Company, together with its subsidiaries, manufactures and markets food and beverage products. It operates through three segments: Americas Simple Meals and Beverages; Global Biscuits and Snacks; and Campbell Fresh."
STZ,Constellation Brands Inc,"Constellation Brands, Inc., together with its subsidiaries, produces, imports, and markets beer, wine, and spirits in the United States, Canada, Mexico, New Zealand, and Italy. The company sells wine across various categories, including table w"
CRS,Carpenter Technology Corp,"Carpenter Technology Corporation manufactures, fabricates, and distributes specialty metals worldwide. It operates through two segments, Specialty Alloys Operations and Performance Engineered Products."
CAT,Caterpillar Inc,Caterpillar Inc.
CATO,Cato Corp (The),"The Cato Corporation, together with its subsidiaries, operates as a specialty retailer of fashion apparel and accessories in the southeastern United States. It operates through two segments, Retail and Credit."
SNV,Synovus Financial Corp.,"Synovus Financial Corp. operates as the bank holding company for Synovus Bank that provides various financial products and services. It offers integrated financial services, including commercial and retail banking, financial management, insuran"
CDI,CDI Corp.,"CDI Corp. provides engineering, information technology (IT), and staffing solutions worldwide."
GCO,Genesco Inc.,"Genesco Inc. retails and wholesales footwear, apparel, and accessories."
CTL,CenturyLink Inc,"CenturyLink, Inc. provides various communications services to residential, business, wholesale, and governmental customers in the United States. It operates through two segments, Business and Consumer."
MGLN,Magellan Health Inc,"Magellan Health, Inc. engages in the healthcare management business in the United States."
CMD,Cantel Medical Corp.,"Cantel Medical Corp. provides infection prevention products and services for the healthcare market worldwide. The company operates through four segments: Endoscopy, Water Purification and Filtration, Healthcare Disposables, and Dialysis."
CHE,Chemed Corp,"Chemed Corporation provides hospice and palliative care services in the United States. It operates through two segments, VITAS and Roto-Rooter."
CHFC,Chemical Financial Corp,Chemical Financial Corporation operates as a financial holding company of Chemical Bank that offers banking and fiduciary products and services to residents and business customers in Michigan.
JPM,JPMorgan Chase & Co,"JPMorgan Chase & Co. operates as a financial services company worldwide. It operates through Consumer & Community Banking, Corporate & Investment Bank, Commercial Banking, and Asset & Wealth Management segments."
CPK,Chesapeake Utilities Corp.,"Chesapeake Utilities Corporation, a diversified energy company, engages in various energy and other businesses. The company operates in two segments, Regulated Energy and Unregulated Energy."
CVR,Chicago Rivet & Machine Co.,"Chicago Rivet & Machine Co. operates in the fastener industry in North America. It operates in two segments, Fasteners and Assembly Equipment. The Fastener segment manufactures and sells rivets, cold-formed fasteners and parts, and screw machin"
CHDN,Churchill Downs Inc,"Churchill Downs Incorporated operates as a racing, gaming, and online entertainment company. It operates through Racing, Casinos, TwinSpires, Big Fish Games, and Other Investments segments."
CINF,Cincinnati Financial Corp,"Cincinnati Financial Corporation engages in the property casualty insurance business in the United States. It operates through five segments: Commercial Lines Insurance, Personal Lines Insurance, Excess and Surplus Lines Insurance, Life Insuran"
FTR,Frontier Communications Corp,"Frontier Communications Corporation provides communications services to residential, business, and wholesale customers in the United States. It offers broadband, video, voice, and other services and products through a combination of fiber and c"
CSS,CSS Industries Inc.,"CSS Industries, Inc., a consumer products company, designs, manufactures, procures, distributes, and sells seasonal, celebrations, and craft social expression products principally to mass market retailers in the United States and Canada."
CLC,CLARCOR Inc.,"CLARCOR Inc. provides filtration products, and filtration systems and services worldwide. The company operates through two segments, Engine/Mobile Filtration and Industrial/Environmental Filtration."
CLX,Clorox Co (The),"The Clorox Company manufactures and markets consumer and professional products worldwide. It operates through four segments: Cleaning, Household, Lifestyle, and International."
CNA,CNA Financial Corp,"CNA Financial Corporation provides commercial property and casualty insurance products primarily in the United States. It operates through Specialty, Commercial, International, Life & Group Non-Core, and Corporate & Other Non-Core segments."
KO,Coca-Cola Co (The),"The Coca-Cola Company, a beverage company, manufactures and distributes various nonalcoholic beverages worldwide. The company primarily offers sparkling beverages and still beverages."
COHR,Coherent Inc,"Coherent, Inc. provides lasers and laser-based technology in a range of scientific, commercial, and industrial applications worldwide. It operates through two segments, Specialty Lasers and Systems, and Commercial Lasers and Components."
COHU,Cohu Inc,"Cohu, Inc., through its subsidiaries, development, manufacture, sale, and servicing of semiconductor test and inspection handlers, micro-electro mechanical system (MEMS) test modules, test contactors, and thermal sub-systems for semiconductor m"
CL,Colgate-Palmolive Co,"Colgate-Palmolive Company, together with its subsidiaries, manufactures and sells consumer products worldwide. It operates through two segments, Oral, Personal and Home Care; and Pet Nutrition."
CBSH,Commerce Bancshares Inc,"Commerce Bancshares, Inc. operates as the holding company for Commerce Bank that provides retail, mortgage banking, corporate, investment, trust, and asset management products and services to individuals and businesses. It operates through thre"
CMC,Commercial Metals Co,"Commercial Metals Company manufactures, recycles, and markets steel and metal products, and related materials and services in the United States and internationally."
JCS,Communications Systems Inc.,"Communications Systems, Inc., together with its subsidiaries, manufactures and sells connectivity infrastructure products for broadband and voice communications in North America, Europe, the Middle East, Africa, and internationally."
CTG,Computer Task Group Inc,"Computer Task Group, Incorporated, together with its subsidiaries, operates as an information technology (IT) solutions and staffing services company in North America, Europe, and India."
CRK,Comstock Resources Inc.,"Comstock Resources, Inc., an independent energy company, acquires, develops, explores, and produces oil and natural gas properties in the United States. Its oil and gas operations are primarily located in East Texas/North Louisiana and South Te"
CMTL,Comtech Telecommunications Corp.,"Comtech Telecommunications Corp. designs, develops, produces, and markets products, systems, and services for communications solutions."
CAG,Conagra Brands Inc,"Conagra Brands, Inc., together with its subsidiaries, operates as a food company in North America. The company operates through Grocery & Snacks, Refrigerated & Frozen, International, and Foodservice segments."
CTO,Consolidated Tomoka-Land Co.,"Consolidated-Tomoka Land Co., together with its subsidiaries, operates as a diversified real estate operating company in the United States. The company owns and manages commercial real estate properties."
CIA,Citizens Inc.,"Citizens, Inc., through its subsidiaries, provides life insurance products in the United States and internationally."
CUO,Continental Materials Corp,"Continental Materials Corporation produces and sells heating, ventilation, and air conditioning (HVAC) products; and construction products in North America. It operates in two groups, HVAC Industry Group and Construction Products Industry Group"
CTB,Cooper Tire & Rubber Co,"Cooper Tire & Rubber Company, together with its subsidiaries, designs, manufactures, and markets replacement tires in North America, Latin America, Europe, and Asia. The company operates through Americas Tire Operations and International Tire O"
TAP,Molson Coors Brewing Co,"Molson Coors Brewing Company manufactures and sells beer and other beverage products in the United States, Canada, Europe, and internationally."
GLW,Corning Inc,"Corning Incorporated manufactures and sells specialty glasses, ceramics, and related materials in North America, the Asia Pacific, Europe, and internationally."
CR,Crane Co.,"Crane Co. manufactures and sells engineered industrial products in the United States, Canada, the United Kingdom, Continental Europe, and internationally."
CRWS,Crown Crafts Inc,"Crown Crafts, Inc., through its subsidiaries, operates in the consumer products industry in the United States and internationally."
CTS,CTS Corp,"CTS Corporation designs, manufactures, and sells a range of sensors, electronic components, and actuators primarily to original equipment manufacturers for the transportation, industrial, medical, information technology, defense and aerospace,"
CUB,Cubic Corp,Cubic Corporation provides systems and solutions for the transportation and defense markets in the United States and internationally.
CMI,Cummins Inc.,"Cummins Inc. designs, manufactures, distributes, and services diesel and natural gas engines, and engine-related component products worldwide. It operates through Engine, Distribution, Components, and Power Systems segments."
DXR,Daxor Corp,"Daxor Corporation, a medical device company, provides biotechnology and cryobanking services in the United States. The company offers BVA-100 Blood Volume Analyzer, an instrument that measures blood volume in human body."
TGT,Target Corp,Target Corporation operates as a general merchandise retailer.
DLX,Deluxe Corp,"Deluxe Corporation provides checks, forms, marketing solutions, accessories, and other products and services for small businesses and financial institutions. It operates through three segments: Small Business Services, Financial Services, and D"
CMA,Comerica Inc,"Comerica Incorporated, through its subsidiaries, provides various financial products and services. The company operates through three segments: Business Bank, Retail Bank, and Wealth Management."
DBD,Diebold Nixdorf Inc,"Diebold Nixdorf, Incorporated provides connected commerce services, software, and technology for financial, commercial, and industrial customers. The company operates in four segments: North America; Asia Pacific; Europe, Middle East and Africa"
DDS,Dillard's Inc.,"Dillard's, Inc. operates as fashion apparel, cosmetics, and home furnishing retailer in the United States. It operates through two segments, Retail Operations and Construction."
DIOD,Diodes Inc,"Diodes Incorporated, together with its subsidiaries, designs, manufactures, and supplies application-specific standard products in the discrete, logic, and analog and mixed semiconductor markets primarily in Asia, North America, and Europe."
DXYN,Dixie Group Inc (The),"The Dixie Group, Inc. manufactures, markets, and sells floorcovering products for residential and commercial applications primarily in the United States. It offers residential and specialty carpets and custom rugs; residential tufted broadloom"
DCI,Donaldson Co Inc.,"Donaldson Company, Inc. manufactures and sells filtration systems and replacement parts worldwide. It operates through Engine Products and Industrial Products segments."
RRD,R.R. Donnelley & Sons Co,"R.R. Donnelley & Sons Company enables organizations to communicate by creating, managing, delivering, and optimizing their multichannel marketing and business communications. It operates through Variable Print, Strategic Services, and Internati"
DOV,Dover Corp,"Dover Corporation manufactures and sells a range of equipment and components, specialty systems, software and digital solutions, and support services worldwide. The company operates in four segments: Energy, Engineered Systems, Fluids, and Refr"
OMC,Omnicom Group Inc.,"Omnicom Group Inc., together with its subsidiaries, provides advertising, marketing, and corporate communications services. The company offers a range of services in the areas of advertising, customer relationship management, or CRM, public rel"
DCO,Ducommun Inc,"Ducommun Incorporated provides engineering and manufacturing products and services primarily to the aerospace, defense, industrial, natural resources, medical, and other industries in the United States."
DD,E. I. du Pont de Nemours and Co,E. I. du Pont de Nemours and Company operates as a science and technology based company.
FLS,Flowserve Corp.,"Flowserve Corporation designs, manufactures, distributes, and services industrial flow management equipment worldwide. The company operates through three segments: Engineered Product Division (EPD), Industrial Product Division (IPD), and Flow C"
WEN,Wendy's Co,"The Wendy's Company, through its subsidiaries, operates as a quick-service restaurant company in the hamburger sandwich segment worldwide. It is involved in operating, developing, and franchising a system of quick-service restaurants."
EML,Eastern Co (The),"The Eastern Company manufactures and sells industrial hardware, security products, and metal products in the United States and internationally."
ELON,Echelon Corp,"Echelon Corporation develops and markets energy control networking platforms. Its products enable everyday devices, including air conditioners, appliances, elevators, electricity meters, light switches, thermostats, and valves to be inter-conne"
ECL,Ecolab Inc.,"Ecolab Inc. provides water, hygiene, and energy technologies and services for customers worldwide. The company operates in three segments: Global Industrial, Global Institutional, and Global Energy."
EDUC,Educational Development Corp,"Educational Development Corporation, a publishing company, operates as a trade co-publisher of the line of educational children's books in the United States."
PKI,PerkinElmer Inc.,"PerkinElmer, Inc. provides products, services, and solutions to the diagnostics, research, environmental, industrial, food, and laboratory services markets worldwide. The company operates through two segments, Discovery and Analytical Solutions"
EMR,Emerson Electric Co.,"Emerson Electric Co., a technology and engineering company, provides various solutions to industrial, commercial, and residential markets worldwide."
MSN,Emerson Radio Corp,"Emerson Radio Corp., together with its subsidiaries, designs, sources, imports, markets, and sells various houseware and consumer electronic products under the Emerson brand in the United States and internationally."
EDE,Empire District Electric Co.,"The Empire District Electric Company, together with its subsidiaries, generates, purchases, transmits, distributes, and sells electricity in Missouri, Kansas, Oklahoma, and Arkansas. It operates through three segments: Electric, Gas, and Other."
EBF,Ennis Inc,"Ennis, Inc. produces and sells business forms and other business products in the United States."
EFX,Equifax Inc.,"Equifax Inc. provides information solutions and human resources business process outsourcing services for businesses, governments, and consumers. The company operates through four segments: U.S. Information Solutions (USIS), International, Work"
EQT,EQT Corp,"EQT Corporation, together with its subsidiaries, operates as an integrated energy company in the United States. The company operates through three segments: EQT Production, EQT Gathering, and EQT Transmission."
ESCA,Escalade Inc,"Escalade, Incorporated, together with its subsidiaries, manufactures and sells sporting goods to retailers, dealers, and wholesalers in North America, Europe, and internationally."
ESP,Espey Manufacturing & Electronics Corp.,"Espey Mfg. & Electronics Corp., a power electronics design and original equipment manufacturing company, designs, manufactures, and tests electronic equipment primarily for use in military and industrial applications in the United States and in"
ESL,Esterline Technologies Corp.,"Esterline Technologies Corporation designs, manufactures, and markets engineered products and systems primarily for aerospace and defense customers in the United States and internationally. It operates through three segments: Avionics & Control"
BOBE,Bob Evans Farms Inc.,"Bob Evans Farms, Inc. produces and distributes food products for grocery retailers in the United States."
KINS,Kingstone Companies Inc,"Kingstone Companies, Inc., through its subsidiary, Kingstone Insurance Company, underwrites property and casualty insurance products to small businesses and individuals in New York."
BOOM,DMC Global Inc,"DMC Global Inc. operates technical product and process businesses in the energy, industrial, and infrastructure markets worldwide. The company operates in two segments, NobelClad and DynaEnergetics."
XOM,Exxon Mobil Corp,"Exxon Mobil Corporation explores for and produces crude oil and natural gas in the United States, Canada/South America, Europe, Africa, Asia, and Australia/Oceania. The company operates through Upstream, Downstream, and Chemical segments."
FARM,Farmer Brothers Company,"Farmer Bros. Co. engages in the manufacture, wholesale, and distribution of coffee, tea, and culinary products in the United States."
SRCE,1st Source Corp,"1st Source Corporation operates as the bank holding company for 1st Source Bank that provides commercial and consumer banking services, trust and investment management services, and insurance to individual and business clients."
FOE,Ferro Corp.,"Ferro Corporation produces specialty materials in the United States and internationally. It operates through four business units: Tile Coating Systems; Porcelain Enamel; Performance Colors and Glass; and Pigments, Powders and Oxides."
FITB,Fifth Third Bancorp,"Fifth Third Bancorp operates as a diversified financial services company in the United States. It operates through four segments: Commercial Banking, Branch Banking, Consumer Lending, and Wealth and Asset Management."
FFIN,First Financial Bankshares Inc,"First Financial Bankshares, Inc., a financial holding company, through its subsidiaries, provides commercial banking services primarily in Texas."
USB,U.S. Bancorp,"U.S. Bancorp, a financial services holding company, provides a range of financial services in the United States."
TRMK,Trustmark Corp,Trustmark Corporation operates as the bank holding company for Trustmark National Bank that provides banking and other financial solutions to individuals and corporate institutions in the United States.
MTB,M&T Bank Corp,"M&T Bank Corporation operates as the holding company for Manufacturers and Traders Trust Company and Wilmington Trust, National Association that provide retail and commercial banking services."
MFNC,MacKinac Financial Corp,Mackinac Financial Corporation operates as the holding company for mBank that provides commercial and retail banking products and services in the United States.
FHN,First Horizon National Corp,First Horizon National Corporation operates as the bank holding company for First Tennessee Bank National Association that provides various financial services in the United States and internationally.
FLXS,Flexsteel Industries Inc,"Flexsteel Industries, Inc., together with its subsidiaries, manufactures, imports, and markets residential and contract upholstered and wood furniture products in the United States."
FMC,FMC Corp.,"FMC Corporation, a diversified chemical company, provides solutions, applications, and products for the agricultural, consumer, and industrial markets worldwide. The company operates through three segments: FMC Agricultural Solutions, FMC Healt"
FNB,F.N.B. Corp,"F.N.B. Corporation, a financial holding company, provides a range of financial services to consumers, corporations, governments, and small- to medium-sized businesses primarily in Pennsylvania, eastern Ohio, and northern West Virginia."
F,Ford Motor Co,"Ford Motor Company, together with its subsidiaries, designs, manufactures, markets, and services automobiles in North America, South America, Europe, the Middle East and Africa, and the Asia Pacific."
FORD,Forward Industries Inc,"Forward Industries, Inc., together with its subsidiaries, designs, markets, and distributes carry and protective solutions primarily for hand held electronic devices."
FELE,Franklin Electric Co Inc,"Franklin Electric Co., Inc., together with its subsidiaries, designs, manufactures, and distributes water and fuel pumping systems worldwide. It operates in two segments, Water Systems and Fueling Systems."
BEN,Franklin Resources Inc,"Franklin Resources, Inc. is a publicly owned asset management holding company. Through its subsidiaries, the firm provides its services to individuals, institutions, pension plans, trusts, and partnerships."
FEIM,Frequency Electronics Inc.,"Frequency Electronics, Inc. designs, develops, manufactures, and sells precision time and frequency control products and components for microwave integrated circuit applications. It operates through two segments, FEI-NY and FEI-Zyfer."
FRD,Friedman Industries Inc,"Friedman Industries, Incorporated engages in steel processing, pipe manufacturing and processing, and steel and pipe distribution activities in the United States."
CFR,Cullen/Frost Bankers Inc,"Cullen/Frost Bankers, Inc. operates as the holding company for Frost Bank that offers commercial and consumer banking services in Texas. The company operates in two segments, Banking and Frost Wealth Advisors."
IBCP,Independent Bank Corp,Independent Bank Corporation operates as the bank holding company for Independent Bank that provides various banking services to individuals and businesses in Michigan.
FUL,H.B. Fuller Co.,"H.B. Fuller Company, together with its subsidiaries, formulates, manufactures, and markets adhesives, sealants, and other specialty chemical products worldwide."
GK,G&K Services Inc,"G&K Services, Inc. provides branded uniform and facility services programs in the United States and Canada."
